tx	gene_id	H2	H27	H45	H47	H56	H74	H87	H91
ENST00000539007	ENSG00000082805	17.502	14.176	16.573	0	0	5.473	0	0
ENST00000688324	ENSG00000082805	0	0	0	0	8.674	0	19.425	27.688
ENST00000541503	ENSG00000082805	2.39	2.203	4.244	0	3.163	3.209	1.087	5.404
ENST00000691177	ENSG00000082805	0	0	0	0	0	0	0	0
ENST00000616500	ENSG00000275811	0	0	0	0	0	0	0	1
ENST00000588412	ENSG00000082805	0	0	0	0	0	0	22.115	0
ENST00000544277	ENSG00000082805	0	0	0	0	0	0	0	0
ENST00000543263	ENSG00000082805	0	0	0	0	0	7.131	0	0
ENST00000513082	ENSG00000249028	0	0	0	0	1	0	0	3
ENST00000537181	ENSG00000267285	0	5	4	0	2	0	2	2
ENST00000539802	ENSG00000082805	1.254	4	2.128	2	5	2	1.162	4.349
ENST00000691140	ENSG00000082805	1.546	9.287	10.027	0	0	0	1.925	0
ENST00000515210	ENSG00000082805	0	2	3	2	1	0	0	2
ENST00000543151	ENSG00000082805	6.059	17.219	18.966	7.838	5.465	6.142	2.487	17.03
ENST00000515614	ENSG00000249628	0	13	3	0	0	0	0	10
ENST00000539198	ENSG00000111186	0	0	0	4.64	0	0	0	0
ENST00000545811	ENSG00000111186	0	1.772	0	0	0	0	0	0
ENST00000339235	ENSG00000171823	111	149	346	108	94	176	74	59
ENST00000537031	ENSG00000111186	0	0	0	0	4.895	0	0	0
ENST00000543278	ENSG00000171823	1	0	0	0	0	0	0	0
ENST00000538854	ENSG00000111186	6	0	1	6	3	6	7	7
ENST00000310594	ENSG00000111186	5.793	1.228	7	9.36	2.105	12	8	13
ENST00000397196	ENSG00000111186	0	0	0	0	0	0	0	0
ENST00000543563	ENSG00000111186	0	0	0	0	0	0	0	0
ENST00000543071	ENSG00000111186	1.207	0	2	0	0	0	0	4
ENST00000542408	ENSG00000111186	0	0	1	0	0	0	0	0
ENST00000545747	ENSG00000111186	0	0	0	0	0	0	0	0
ENST00000700819	ENSG00000289832	0	0	0	0	0	0	0	2
ENST00000577921	ENSG00000266043	0	0	0	0	0	0	0	0
ENST00000537545	ENSG00000006831	0	12.912	0	1.18	0	0	0	0
ENST00000357103	ENSG00000006831	458.68	467.604	718.451	825.986	449.323	513.832	393.634	348.714
ENST00000540974	ENSG00000006831	1	0	1	2	1	1	0	3
ENST00000603687	ENSG00000271500	0	0	0	0	0	0	0	8
ENST00000650086	ENSG00000285627	0	1	0	0	0	0	0	9
ENST00000493072	ENSG00000243663	0	0	0	0	0	0	0	5
ENST00000543456	ENSG00000006831	0	0	0	0	0	1	0	0
ENST00000535774	ENSG00000006831	0	1.63	1.237	1.364	4.37	0	1.366	0
ENST00000544470	ENSG00000006831	9.112	6	19	11	1.016	2	8	8
ENST00000537190	ENSG00000006831	5.207	8.854	11.312	7.47	4.292	4.168	9	5.286
ENST00000537784	ENSG00000151062	0	0	0	3.376	0	0	13.147	0
ENST00000382722	ENSG00000151062	0	0	0	0	0	0	0	0
ENST00000280663	ENSG00000151062	5.434	25.866	32.231	7.761	15.958	9.18	1.979	15.51
ENST00000444595	ENSG00000151062	0	0	0	0	0	0	0	0
ENST00000545595	ENSG00000151062	12.896	4.171	16.625	13.619	0	3.35	0	13.645
ENST00000538450	ENSG00000151062	0	4.145	0	0	9.908	0	4.258	5.19
ENST00000587995	ENSG00000151062	0	0	0	0	0	0	0	0
ENST00000585385	ENSG00000151062	0	8.337	0	0	0	11.313	0	0
ENST00000541444	ENSG00000151062	0	1.246	0	0	0	0	0	0
ENST00000588077	ENSG00000151062	0	0	0	0	0	0	0	0
ENST00000538027	ENSG00000151062	0	0	8.811	0	0	0	3.279	0
ENST00000536846	ENSG00000151062	0	0	0	0	0	0	0	1.377
ENST00000543405	ENSG00000151062	0	0	3.813	4.063	0	5.389	2	1.465
ENST00000586184	ENSG00000151062	0	0	0	0	0	0	0	0
ENST00000588896	ENSG00000151062	7	0	2.672	0	0	1.611	0	0
ENST00000585708	ENSG00000151062	0	0	0	4.394	0	0	0	0
ENST00000536818	ENSG00000151062	1	1	3.191	5	0	0	3	0
ENST00000537923	ENSG00000151062	0	0	0	0	0	0	0	0
ENST00000589502	ENSG00000151062	7.851	6.344	10.021	2.37	3.119	7.906	3.49	3.732
ENST00000541616	ENSG00000151062	5.469	3.272	6.127	1.417	2.752	0	1.888	5.082
ENST00000541331	ENSG00000151062	1.519	3	6.51	0	1.263	2.39	1.959	0
ENST00000540728	ENSG00000151062	0	1.619	0	0	0	9.244	0	0
ENST00000542340	ENSG00000151062	1.831	0	0	0	0	4.616	0	0
ENST00000668721	ENSG00000287698	0	0	0	0	0	0	0	0
ENST00000585732	ENSG00000151062	0	0	0	0	0	0	0	0
ENST00000543818	ENSG00000166159	0	0	2	0	0	0	0	2.29
ENST00000545157	ENSG00000166159	0	0	0	0	0	0	0	1.316
ENST00000542529	ENSG00000166159	0	0	0	0	0	0	0	0
ENST00000543730	ENSG00000166159	0	0	0	0	0	0	0	11.394
ENST00000299194	ENSG00000166159	0	0	0	0	0	0	0	0
ENST00000544489	ENSG00000166159	0	0	0	0	0	0	0	0
ENST00000540378	ENSG00000166159	0	0	0	0	0	0	0	0
ENST00000539859	ENSG00000166159	0	0	0	0	0	0	0	0
ENST00000535041	ENSG00000166159	0	0	0	0	0	0	0	0
ENST00000546167	ENSG00000166159	0	0	0	0	0	0	0	0
ENST00000543694	ENSG00000166159	0	0	0	0	0	0	0	0
ENST00000546157	ENSG00000166159	0	0	0	0	0	0	0	0
ENST00000539048	ENSG00000151062	0	0	0	0	0	0	0	0
ENST00000590880	ENSG00000151062	0	0	0	0	0	0	0	2
ENST00000544163	ENSG00000256706	35	7	17	48	29	12	56	12
ENST00000418006	ENSG00000235049	0	0	0	0	0	0	0	28
ENST00000280665	ENSG00000151065	11.649	46.454	46.786	16.284	13.579	20.468	10.033	21.452
ENST00000543381	ENSG00000151065	0	5.389	6.926	8.871	0	8.797	0	0
ENST00000540622	ENSG00000151065	0	0	0	0	0	1.662	0	7.854
ENST00000536665	ENSG00000151065	0	0	0	0	0	0	9.58	0
ENST00000541700	ENSG00000151065	2	3.15	1.133	0	1.127	2.126	1.138	0
ENST00000537725	ENSG00000151065	4.892	0	8.951	10.033	0	5.175	0	0
ENST00000682544	ENSG00000151067	0	0	0	0	0	0	0	0
ENST00000683781	ENSG00000151067	0	0	0	0	0	0	0	0
ENST00000682462	ENSG00000151067	0	0	0	0	0	0	0	0
ENST00000683840	ENSG00000151067	0	0	0	0	0	0	0	0
ENST00000683956	ENSG00000151067	0	0	0	0	0	0	0	0
ENST00000683824	ENSG00000151067	0	0	0	0	0	0	0	0
ENST00000535873	ENSG00000151065	42.459	116.007	154.203	34.812	37.294	90.77	32.249	27.695
ENST00000354425	ENSG00000203593	0	0	0	0	0	0	0	6
ENST00000542984	ENSG00000256837	0	0	0	0	0	0	0	2
ENST00000541871	ENSG00000151067	0	0	0	0	0	0	0	1
ENST00000682867	ENSG00000151067	0	0	0	0	0	0	0	2.043
ENST00000399634	ENSG00000151067	0	0	0	0	0	0	0	0
ENST00000406454	ENSG00000151067	0	0	0	0	0	0	0	0
ENST00000327702	ENSG00000151067	0	0	0	0	0	0	0	0
ENST00000347598	ENSG00000151067	0	0	0	0	0	0	0	0
ENST00000399603	ENSG00000151067	0	0	17	0	0	0	0	0
ENST00000399641	ENSG00000151067	0	0	0	0	0	0	0	0
ENST00000399655	ENSG00000151067	0	4	0	6	1	6.074	2	68.515
ENST00000335762	ENSG00000151067	0	0	0	0	0	0	0	0
ENST00000682835	ENSG00000151067	2	0	0	0	0	0	0	0
ENST00000673589	ENSG00000151067	0	0	2	0	0	0	0	21.24
ENST00000399617	ENSG00000151067	0	0	0	0	0	0	0	0
ENST00000672806	ENSG00000151067	0	0	0	0	0	0	0	0
ENST00000683482	ENSG00000151067	0	0	0	0	0	0	0	0
ENST00000480911	ENSG00000151067	0	2	2	0	0	1.233	1	38.202
ENST00000682336	ENSG00000151067	0	0	0	0	0	0	0	0
ENST00000344100	ENSG00000151067	0	0	0	0	0	0	0	0
ENST00000399591	ENSG00000151067	0	0	0	0	0	0	0	0
ENST00000399595	ENSG00000151067	0	0	0	0	0	0	0	0
ENST00000399597	ENSG00000151067	0	0	0	0	0	0	0	0
ENST00000399601	ENSG00000151067	0	0	0	0	0	0	0	0
ENST00000399606	ENSG00000151067	0	0	0	0	0	0	0	0
ENST00000399621	ENSG00000151067	0	0	0	0	0	0	0	0
ENST00000399629	ENSG00000151067	0	0	0	0	0	0	0	0
ENST00000399637	ENSG00000151067	0	0	0	0	0	0	0	0
ENST00000399638	ENSG00000151067	0	0	0	0	0	0	0	0
ENST00000399644	ENSG00000151067	0	0	0	0	0	0	0	0
ENST00000399649	ENSG00000151067	0	0	0	0	0	0	0	0
ENST00000402845	ENSG00000151067	0	0	0	0	0	0	0	0
ENST00000682686	ENSG00000151067	0	0	0	0	0	0	0	0
ENST00000682152	ENSG00000151067	0	0	0	0	0	0	0	0
ENST00000613391	ENSG00000278255	0	0	0	0	0	0	3	0
ENST00000669813	ENSG00000256025	0	0	0	0	0	0	0	2
ENST00000544415	ENSG00000256025	0	0	0	0	0	0	0	0
ENST00000542680	ENSG00000256721	0	0	0	0	0	0	0	0
ENST00000648763	ENSG00000285555	0	0	0	0	0	0	0	3
ENST00000649808	ENSG00000285734	0	0	5	0	0	0	0	23
ENST00000682343	ENSG00000151067	0	0	0	0	0	0	0	0
ENST00000491104	ENSG00000151067	0	0	0	0	0	0	0	0
ENST00000465278	ENSG00000151067	0	0	0	0	0	0	0	2
ENST00000543559	ENSG00000256769	0	0	0	0	0	0	0	0
ENST00000496818	ENSG00000151067	0	0	0	0	0	0	0	0
ENST00000483136	ENSG00000151067	0	0	0	0	0	0	0	0
ENST00000684467	ENSG00000151067	0	0	0	0	0	0	0	0
ENST00000616390	ENSG00000151067	0	0	0	0	0	0	0	0
ENST00000682320	ENSG00000151067	0	0	0	0	0	0	0	0
ENST00000684317	ENSG00000151067	0	0	2	0	0	0	0	4
ENST00000492150	ENSG00000151067	0	0	0	0	0	0	0	0
ENST00000366455	ENSG00000203648	0	0	2	0	0	0	0	6
ENST00000465934	ENSG00000151067	0	0	0	0	0	0.692	0	0
ENST00000545526	ENSG00000256271	3	5	14	1	1	8	3	6
ENST00000501371	ENSG00000246627	15	39	63	13	9	34	13	22
ENST00000684752	ENSG00000151067	0	0	0	0	0	0	0	0
ENST00000684233	ENSG00000151067	0	0	1	0	0	0	0	9
ENST00000544517	ENSG00000246627	1	5	12	0	0	7	2	0
ENST00000541673	ENSG00000246627	0	0	0	0	0	0	0	0
ENST00000636122	ENSG00000256150	0	0	1	0	0	0	0	2
ENST00000637219	ENSG00000283587	0	0	0	0	0	0	0	4
ENST00000613818	ENSG00000274659	0	0	3	0	0	0	0	18
ENST00000670289	ENSG00000274659	0	0	0	0	0	0	0	0
ENST00000686731	ENSG00000274659	0	0	0	0	0	0	0	0
ENST00000701181	ENSG00000274659	0	0	0	0	0	0	0	0
ENST00000540093	ENSG00000256150	0	0	0	0	0	0	0	0
ENST00000538799	ENSG00000256902	0	0	2	0	0	0	0	4
ENST00000536497	ENSG00000255669	0	0	0	0	0	0	0	0
ENST00000637160	ENSG00000255669	0	0	0	0	0	0	0	0
ENST00000468281	ENSG00000224438	0	0	0	0	0	0	0	1
ENST00000538909	ENSG00000256030	0	1	0	0	0	0	0	2
ENST00000540428	ENSG00000256030	1	1	1	0	1	4	0	2
ENST00000001008	ENSG00000004478	80.025	114.127	141.67	65	51.907	145.416	58.603	53.494
ENST00000543769	ENSG00000004478	0	0	0	0	0	0	0	0
ENST00000630279	ENSG00000004478	0	0	0	0	0	0	0	0
ENST00000540260	ENSG00000004478	4	3	5	2	5	2	1	5
ENST00000538622	ENSG00000004478	1.693	0	5.581	0	0	0	1.273	1.306
ENST00000547834	ENSG00000258325	3	3	13	3	3	5	1	2
ENST00000547042	ENSG00000258092	0	0	0	0	0	0	0	0
ENST00000543037	ENSG00000004478	7.282	14.873	6.749	0	6.093	8.584	4.124	9.2
ENST00000539181	ENSG00000004478	0	0	0	0	0	0	0	0
ENST00000544366	ENSG00000004478	0	0	0	0	0	0	0	0
ENST00000547794	ENSG00000258325	0	0	0	0	0	0	0	0
ENST00000552469	ENSG00000258325	0	0	0	0	0	0	0	0
ENST00000644123	ENSG00000111203	0	0	0	0	0	0	0	0
ENST00000644517	ENSG00000111203	12.804	39.791	75.049	5.588	7.222	11.874	15.914	14.947
ENST00000228799	ENSG00000111203	77.214	177.828	323.169	102.614	64.916	194.856	64.443	100.722
ENST00000543029	ENSG00000111203	13.358	41.338	30.658	12.438	8.006	30.319	10.268	17.48
ENST00000537851	ENSG00000111203	4.706	12.772	18.681	3.672	5.642	9.453	0	0
ENST00000540929	ENSG00000111203	0	0	0	21.504	7.57	22.19	0	19.097
ENST00000541659	ENSG00000111203	0	16.856	20.209	0	9.364	13.969	0	7.69
ENST00000535564	ENSG00000111203	0	0	0	0	0	0	0	8.274
ENST00000645513	ENSG00000111203	2.004	0	12.072	5.245	2.017	3.621	4.617	0
ENST00000537183	ENSG00000111203	17.947	32.045	46.555	19.963	12.664	32.546	12.052	23.639
ENST00000643039	ENSG00000111203	7.651	12.096	20.602	0	5.622	13.934	2.784	10.865
ENST00000534935	ENSG00000111203	0	0	2.637	0	0	0	0	1.587
ENST00000540662	ENSG00000111203	1.996	1.084	0	2.323	0	0	1	0
ENST00000538822	ENSG00000111203	0	0	0	0	0	0	0.774	0
ENST00000691601	ENSG00000288984	0	0	0	0	0	0	0	8.844
ENST00000337508	ENSG00000053702	0	1	2	0	0	0	0	13.156
ENST00000542990	ENSG00000053702	0	0	0	0	0	0	0	0
ENST00000542386	ENSG00000053702	0	0	0	0	0	0	0	0
ENST00000552005	ENSG00000111203	0	10.047	7.42	3.101	6.942	8.246	0	10.225
ENST00000537710	ENSG00000111203	0	0	0	0	0	0	0	0
ENST00000637658	ENSG00000283297	0	0	0	0	0	0	0	1
ENST00000540300	ENSG00000111203	0	0	1	0	0	0	0	0
ENST00000545509	ENSG00000111203	2.32	7.144	31.947	5.551	7.035	12.991	1.147	16.473
ENST00000359843	ENSG00000111206	0	0	0	0	0	0	0	0
ENST00000536066	ENSG00000111206	0	0	0	0	1	0	0	12.497
ENST00000627656	ENSG00000111206	0	7.278	0	0	0	0	0	8.503
ENST00000342628	ENSG00000111206	0	0	0	0	0	0	0	0
ENST00000361953	ENSG00000111206	1.153	0	6	5	0	3.811	9	0
ENST00000535350	ENSG00000111206	0	0	0	0	0	0	0	0
ENST00000366362	ENSG00000111206	0	0	1	0	0	0	0	7
ENST00000538564	ENSG00000111206	0	1.722	0	0	0	0	0	0
ENST00000537018	ENSG00000111206	1.847	0	0	0	1	1.189	0	0
ENST00000545049	ENSG00000111206	0	0	1	0	0	0	0	0
ENST00000536063	ENSG00000171792	0	0	0	0	0	0	0	0
ENST00000538636	ENSG00000171792	0	0	3.195	0	0	0	5.453	0
